SiteName,Region,Season,Date,Count
Langebaan: Lagoon Combined (Western Cape),WC,W,09/08/2000,120
Strandfontein Sewage Works,WC,O,15/12/1993,120
Mkhombo Dam (Mpumalanga),Mpum,W,08/06/2019,119
Strandfontein Sewage Works,WC,O,12/11/1994,118
Langebaan: Lagoon Combined (Western Cape),WC,W,23/06/1984,117
Langebaan: Lagoon Combined (Western Cape),WC,S,23/01/1994,116
Lake St Lucia (KwaZulu-Natal),KZN,W,12/07/1998,116
Lake St Lucia (KwaZulu-Natal),KZN,W,09/07/1994,112
Wadrif Saltpan (Western Cape),WC,W,24/07/2018,107
Orange River: Mouth - Bridge (Northern Cape),NC,S,21/01/2000,105
Langebaan: Lagoon Combined (Western Cape),WC,S,28/01/1984,105
Strandfontein Sewage Works,WC,O,10/03/1996,104
Strandfontein Sewage Works,WC,O,12/10/1997,102
Strandfontein Sewage Works,WC,O,15/11/1984,101
Strandfontein Sewage Works,WC,O,11/10/1998,101
Strandfontein Sewage Works,WC,O,15/04/1987,100
Kamfers Dam (Northern Cape),NC,S,17/03/2001,97
Strandfontein Sewage Works,WC,O,15/10/1985,97
Langebaan: Lagoon Combined (Western Cape),WC,W,20/07/2002,96
Strandfontein Sewage Works,WC,O,15/05/1987,94
Langebaan: Lagoon Combined (Western Cape),WC,S,20/02/1982,91
Langebaan: Lagoon Combined (Western Cape),WC,S,16/02/1992,90
Langebaan: Lagoon Combined (Western Cape),WC,S,16/02/2003,88
Langebaan: Lagoon Combined (Western Cape),WC,S,18/02/1989,86
Strandfontein Sewage Works,WC,O,15/10/1992,86
Strandfontein Sewage Works,WC,O,10/06/1995,86
Lake St Lucia (KwaZulu-Natal),KZN,W,25/07/1999,85
Strandfontein Sewage Works,WC,O,15/10/1991,85
Strandfontein Sewage Works,WC,O,09/10/2005,83
Strandfontein Sewage Works,WC,W,21/07/2002,83
Kamfers Dam (Northern Cape),NC,S,12/01/1998,82
Strandfontein Sewage Works,WC,O,15/09/1991,82
Strandfontein Sewage Works,WC,W,11/08/1996,82
Strandfontein Sewage Works,WC,O,15/09/1990,81
Langebaan: Lagoon Combined (Western Cape),WC,W,25/06/1977,80
Langebaan: Lagoon Combined (Western Cape),WC,W,06/08/1994,80
Tweelingspan: East (Mpumalanga),Mpum,O,13/02/1994,80
Strandfontein Sewage Works,WC,O,15/05/1989,78
Strandfontein Sewage Works,WC,O,15/11/1993,78
Orange River: Mouth - Bridge (Northern Cape),NC,S,09/02/2011,76
Langebaan: Lagoon Combined (Western Cape),WC,W,26/06/1992,76
Strandfontein Sewage Works,WC,W,11/08/2002,76
Tweelingspan: East (Mpumalanga),Mpum,O,20/11/1993,75
Strandfontein Sewage Works,WC,W,08/08/2004,74
Strandfontein Sewage Works,WC,O,11/04/2004,71
Strandfontein Sewage Works,WC,O,15/06/1991,71
Langebaan: Lagoon Combined (Western Cape),WC,S,10/02/1979,70
Langebaan: Lagoon Combined (Western Cape),WC,W,29/07/1989,70
Langebaan: Lagoon Combined (Western Cape),WC,W,21/08/1999,70
Strandfontein Sewage Works,WC,O,15/04/1988,70
Kamfers Dam (Northern Cape),NC,S,22/01/2005,69
Strandfontein Sewage Works,WC,O,14/09/2003,68
Langebaan: Lagoon Combined (Western Cape),WC,W,27/07/1996,67
Strandfontein Sewage Works,WC,O,15/11/1991,67
Langebaan: Lagoon Combined (Western Cape),WC,S,10/03/1991,66
Bar None Saltpan (Eastern Cape),EC,S,19/01/2003,66
Strandfontein Sewage Works,WC,O,15/11/1983,66
Strandfontein Sewage Works,WC,O,09/04/2000,66
Lake St Lucia (KwaZulu-Natal),KZN,S,14/01/1995,65
Lake St Lucia (KwaZulu-Natal),KZN,S,19/01/1997,65
Tweelingspan: East (Mpumalanga),Mpum,O,10/10/1993,65
Strandfontein Sewage Works,WC,O,15/10/1989,63
Strandfontein Sewage Works,WC,O,15/06/1984,62
Strandfontein Sewage Works,WC,O,10/11/2002,62
Langebaan: Lagoon Combined (Western Cape),WC,S,24/02/1990,60
Lake St Lucia (KwaZulu-Natal),KZN,S,02/02/2016,60
Bar None Saltpan (Eastern Cape),EC,S,31/01/1999,59
Langebaan: Lagoon Combined (Western Cape),WC,S,04/02/1978,58
Strandfontein Sewage Works,WC,O,10/09/1995,58
Kamfers Dam (Northern Cape),NC,S,24/01/2004,57
Strandfontein Sewage Works,WC,O,09/10/1994,57
Tweelingspan: East (Mpumalanga),Mpum,O,25/10/1993,56
Bar None Saltpan (Eastern Cape),EC,W,08/07/2006,50
Wadrif Saltpan (Western Cape),WC,S,29/01/2018,50
Langebaan: Lagoon Combined (Western Cape),WC,S,14/02/1987,49
Strandfontein Sewage Works,WC,W,12/07/1998,49
Strandfontein Sewage Works,WC,O,15/11/1992,48
Langebaan: Lagoon Combined (Western Cape),WC,W,21/06/1986,46
Strandfontein Sewage Works,WC,O,15/06/1985,46
Langebaan: Lagoon Combined (Western Cape),WC,S,31/01/1981,45
Lake St Lucia (KwaZulu-Natal),KZN,W,19/08/2013,45
Strandfontein Sewage Works,WC,W,30/07/1995,45
Strandfontein Sewage Works,WC,O,15/05/1984,45
Tweelingspan: East (Mpumalanga),Mpum,O,18/09/1993,44
Strandfontein Sewage Works,WC,O,15/06/1989,44
Langebaan: Lagoon Combined (Western Cape),WC,S,16/02/1985,43
Wadrif Saltpan (Western Cape),WC,W,30/07/1998,43
Strandfontein Sewage Works,WC,W,10/08/2003,43
Langebaan: Lagoon Combined (Western Cape),WC,S,14/02/1988,42
Langebaan: Lagoon Combined (Western Cape),WC,W,14/08/1993,42
Langebaan: Lagoon Combined (Western Cape),WC,S,11/03/1995,41
Kamfers Dam (Northern Cape),NC,S,24/01/2012,41
Langebaan: Lagoon Combined (Western Cape),WC,W,25/07/2004,40
Wadrif Saltpan (Western Cape),WC,S,22/01/1998,40
Strandfontein Sewage Works,WC,O,13/10/2002,40
Langebaan: Lagoon Combined (Western Cape),WC,W,27/07/1997,39
Bar None Saltpan (Eastern Cape),EC,W,13/07/2008,39
Strandfontein Sewage Works,WC,O,12/10/2003,39
Bar None Saltpan (Eastern Cape),EC,S,25/01/2004,38
Strandfontein Sewage Works,WC,O,15/10/1986,38
Kamfers Dam (Northern Cape),NC,S,27/01/2010,37
Wadrif Saltpan (Western Cape),WC,W,25/07/2016,36
Strandfontein Sewage Works,WC,W,15/07/1990,36
Strandfontein Sewage Works,WC,O,13/09/1998,36
Strandfontein Sewage Works,WC,O,10/09/2000,34
Langebaan: Lagoon Combined (Western Cape),WC,S,31/01/1976,33
Wadrif Saltpan (Western Cape),WC,W,24/07/2013,33
Lake St Lucia (KwaZulu-Natal),KZN,S,09/01/1993,32
Bar None Saltpan (Eastern Cape),EC,W,26/07/1997,32
Strandfontein Sewage Works,WC,W,15/08/1992,32
Strandfontein Sewage Works,WC,O,15/06/1993,32
Strandfontein Sewage Works,WC,O,12/03/1994,32
